Spadek	DN	100	DN	150	DN	200	DN	250	DN	300	DN	350
	Q	v	Q	v	Q	v	Q	v	Q	v	Q	
%o	I/s	m/s	I/s	m/s	I/s	m/s	I/s	m/s	I/s	m/s	l/s	m/s
5	3,7	0,47	11	0,62	23,7	0,75	42,9	0,87	69,6	0,98	105	1,09
5,5	3,9	0,5	11,5	0,65	24,9	0,79	45	0,92	73	1,03	110	1,14
6	4,1	0,52	12,1	0,68	26	0,83	47	0,96	76,2	1,08	115	1,19
6,5	4,2	0,54	12,6	0,71	27	0,86	48,9	1	79,3	1,12	119	1,24
7	4,4	0,56	13	0,74	28	0,89	50,7	1,03	82,3	1,17	124	1,29
7,5	4,6	0,58	13,5	0,76	29	0,92	52,5	1,07	85,2	1,21	128	1,33
8	4,7	0,6	13,9	0,79	30	0,95	54,3	1,11	88	1,25	132	1,38
8,5	4,9	0,62	14,4	0,81	30,9	0,98	55,9	1,14	90,7	1,28	136	1,42
9	5	0,64	14,8	0,84	31,8	1,01	57,5	1,17	93,3	1,32	140	1,46
9,5	5,1	0,65	15,2	0,86	32,7	1,04	59,1	1,2	95,9	1,36	144	1,5
10	5,3	0,67	15,6	0,88	33,5	1,07	60,7	1,24	98,4	1,39	148	1,54
10,5	5,4	0,69	16	0,9	34,3	1,09	62,2	1,27	101	1,43	152	1,58
11	5,5	0,7	16,3	0,92	35,2	1,12	63,6	1,3	103	1,46	155	1,61
11,5	5,6	0,72	16,7	0,95	35,9	1,14	65	1,33	106	1,49	159	1,65
12	5,8	0,73	17,1	0,97	36,7	1,17	66,4	1,35	108	1,53	162	1,69
12,5	5,9	0,75	17,4	0,99	37,5	1,19	67,8	1,38	110	1,56	166	1,72
13	6	0,76	17,8	1,01	38,2	1,22	69,2	1,41	112	1,59	169	1,76
13,5	6,1	0,78	18,1	1,02	38,9	1,24	70,5	1,44	114	1,62	172	1,79
14	6,2	0,79	18,4	1,04	39,7	1,26	71,8	1,46	116	1,65	175	1,82
14,5	6,3	0,81	18,7	1,06	40,4	1,29	73	1,49	118	1,68	178	1,85
15	6,4	0,82	19,1	1,08	41	1,31	74,3	1,51	121	1,71	181	1,89
15,5	6,6	0,83	19,4	1,1	41,7	1,33	75,5	1,54	122	1,73	184	1,92
16	6,7	0,85	19,7	1,11	42,4	1,35	76,7	1,56	124	1,76	187	1,95
16,5	6,8	0,86	20	1,13	43,1	1,37	77,9	1,59	126	1,79	190	1,98
