Spadek	DN	100	DN	150	DN	200	DN	250	DN	300	DN	350
I	Q	V	Q	V	Q	V	Q	V	Q	V	Q	V
%0	I/s	m/s	I/s	m/s	I/s	m/s	I/s	m/s	I/s	m/s	I/s	m/s
17	6.9	0.87	20.3	1.15	43.7	1.39	79.1	1.61	128	1.82	193	2.01
17.5	7	0.89	20.6	1.17	44.3	1.41	80.2	1.64	130	1.84	196	2.04
18	7.1	0.9	20.9	1.18	45	1.43	81.4	1.66	132	1.87	199	2.07
18.5	7.2	0.91	21.2	1.2	45.6	1.45	82.5	1.68	134	1.89	201	2.09
19	7.3	0.92	21.5	1.22	46.2	1.47	83.6	1.7	136	1.92	204	2.12
19.5	7.3	0.94	21.7	1.23	46.8	1.49	84.7	1.73	137	1.94	207	2.15
20	7.4	0.95	22	1.25	47.4	1.51	85.8	1.75	139	1.97	209	2.18
21	7.6	0.97	22.6	1.28	48.6	1.55	87.9	1.79	143	2.02	215	2.23
22	7.8	0.99	23.1	1.31	49.7	1.58	90	1.83	146	2.07	220	2.28
23	8	1.02	23.6	1.34	50.8	1.62	92	1.87	149	2.11	224	2.33
24	8.2	1.04	24.1	1.37	51.9	1.65	94	1.92	152	2.16	229	2.38
25	8.3	1.06	24.6	1.39	53	1.69	95.9	1.95	156	2.2	234	2.43
26	8.5	1.08	25.1	1.42	54	1.72	97.8	1.99	159	2.25	239	2.48
27	8.6	1.1	25.6	1.45	55.1	1.75	99.7	2.03	162	2.29	243	2.53
28	8.8	1.12	26.1	1.47	56.1	1.79	101	2.07	165	2.33	248	2.58
29	9	1.14	26.5	1.5	57.1	1.82	103	2.11	168	2.37	252	2.62
30	9.1	1.16	27	1.53	58	1.85	105	2.14	170	2.41	256	2.67
31	9.3	1.18	27.4	1.55	59	1.88	107	2.18	173	2.45	261	2.71
32	9.4	1.2	27.8	1.58	60	1.91	108	2.21	176	2.49	265	2.75
33	9.6	1.22	28.3	1.6	60.9	1.94	110	2.25	179	2.53	269	2.8
34	9.7	1.24	28.7	1.63	61.8	1.97	112	2.28	181	2.57	273	2.84
35	9.8	1.25	29.1	1.65	62.7	2	113	2.31	184	2.61	277	2.88
36	10	1.27	29.5	1.67	63.6	2.03	115	2.35	187	2.64	281	2.92
37	10.1	1.29	29.9	1.7	64.5	2.05	117	2.38	189	2.68	285	2.96
